"CarrierName","Program","SubProgram","Policy","PolicyEffective","PolicyExpiration","PolicyCancellation","PolicyReinstatement","State","ASLOB","Product","TransactionType","WrittenPremium","Taxes","PolicyFees","Commission","CollectedPremium","UncollectedPremiumUnder_30_Days","UncollectedPremium_31_60_Days","UncollectedPremium_61_90_Days","UncollectedPremiumOver_90_Days"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000002993-01","10/09/2025","10/09/2026","","","CA","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","105.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000002998-01","10/11/2025","10/11/2026","","","AZ","9.001","Personal Boaters","Renweal","0.0","","1.0","6.0","60.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000003004-01","10/14/2025","10/14/2026","","","TX","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","198.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000003007-01","10/12/2025","10/12/2026","","","AZ","9.001","Personal Boaters","Renweal","0.0","","5.0","4.7","47.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000003008-01","10/12/2025","10/12/2026","","","TX","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","79.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000003022-01","10/15/2025","10/15/2026","","","NV","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","146.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000003029-01","10/16/2025","10/16/2026","","","CT","9.001","Personal Boaters","Renweal","0.0","","5.0","16.51","127.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000003035-01","10/17/2025","10/17/2026","","","NY","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","64.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000003037-01","10/17/2025","10/17/2026","","","TX","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","119.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000003038-01","10/21/2025","10/21/2026","","","IL","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","64.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000003041-01","10/18/2025","10/18/2026","","","MD","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","125.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000003044-01","10/19/2025","10/19/2026","01/31/2026","","SC","9.001","Personal Boaters","Cancellation","-608.0","","0.0","0.0","-40.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000003046-01","10/18/2025","10/18/2026","01/22/2026","","NY","9.001","Personal Boaters","Cancellation","-899.0","","0.0","-89.9","-899.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000003048-01","10/20/2025","10/20/2026","","","MO","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","183.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000003066-01","10/22/2025","10/22/2026","","","NY","9.001","Personal Boaters","Renweal","0.0","","5.0","12.9","129.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-10-0000003074-01","11/19/2025","11/19/2026","","","DC","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","101.0","0.0","0.0","0.0","0.0"
